asn_destino,asn_upstream,frequencia
212331,20473,34
210932,20473,34
9924,3356,33
131584,24482,33
131584,55720,33
18424,45474,33
18040,150766,33
131667,6939,33
38839,38008,33
131657,17408,32
202820,6939,32
131607,137409,31
131144,2914,31
208223,18041,31
207389,32595,31
9416,9002,30
38851,24482,30
131589,17709,30
18041,24482,30
152614,212895,30
152626,18423,30
18183,9681,29
9505,4637,29
38841,137409,29
142005,6453,29
131642,55720,29
18041,38855,29
202178,134823,29
18040,6939,29
18419,9002,28
10135,41095,28
7483,2497,28
212358,6939,28
18046,55720,27
18180,134196,27
18419,55720,26
17415,20473,26
131683,3462,26
7536,4229,26
7656,55720,25
208223,38855,25
24172,18046,25
63909,17408,25
9416,137409,24
131584,137409,24
18179,4637,24
142046,205329,24
17709,24482,23
9244,24482,23
131642,38855,23
208223,24482,23
203843,7720,23
38851,55720,21
131642,24482,21
208223,204921,21
150766,174,21
63900,9678,21
63909,9002,21
131627,24482,20
131627,55720,20
134823,55720,20
7483,174,20
7532,3491,19
131627,137409,19
18181,7539,19
18179,17709,19
18428,24482,19
18428,38855,19
7536,3491,19
38841,9681,18
131618,150288,18
152614,20473,18
24172,58453,18
9678,24482,17
7656,137409,16
7656,24482,16
18046,8966,16
134823,43298,16
131646,45250,16
205329,41051,16
18422,24482,15
134823,9002,15
18180,136826,15
9678,137409,15
9678,55720,15
9678,20860,15
131642,137409,15
24162,21859,15
9505,2914,15
9680,1299,14
134823,9681,14
18424,6939,14
134823,58453,14
203843,17433,14
7539,7575,13
131593,3462,13
131657,38855,13
131639,134823,13
204934,6939,12
38851,137409,12
131645,55720,12
142046,174,12
38837,9924,12
205592,44324,12
150766,34927,12
208223,209533,12
38841,10133,11
63897,137409,11
63897,24482,11
131679,134823,11
131273,142061,11
9831,17408,11
9924,33891,10
4780,8359,10
9680,3356,10
131149,24482,10
131630,24482,10
131630,38855,10
131642,8966,10
131642,4635,10
131642,8359,10
131273,3462,10
63897,10133,10
18041,55720,10
63900,134823,10
152626,134823,10
3462,212024,9
131593,2914,9
205329,24482,9
131642,18041,9
9678,4837,9
18424,18182,9
18041,15412,9
45342,21859,9
152619,134823,9
9505,9002,9
9505,213241,9
9264,33891,8
9680,174,8
131149,38855,8
131149,55720,8
131657,134823,8
9915,6939,8
131643,10133,8
17415,134823,8
38852,6939,8
24162,3491,8
17718,6939,8
215256,18423,8
7539,24482,7
18422,55720,7
10135,24482,7
10135,55720,7
7539,9264,7
205329,38855,7
38856,6939,7
131666,6939,7
63897,55720,7
7483,10099,7
142005,6939,7
4780,58453,7
3462,12859,6
7539,55720,6
9924,4635,6
18422,7539,6
131644,24482,6
152626,38855,6
45250,140715,6
150771,134823,6
63896,18423,6
215256,24482,6
215256,38855,6
213617,20473,6
9264,38001,5
9264,23855,5
9264,1103,5
9264,17639,5
9264,24482,5
9416,10133,5
9924,17639,5
18411,131584,5
10135,4637,5
9680,6939,5
18423,6939,5
9917,131149,5
150766,38855,5
9924,7481,5
17408,10133,5
131638,17408,5
131638,10133,5
212425,58057,5
207705,24482,5
207705,38855,5
216198,207841,5
213617,53356,5
18047,7539,4
9416,12389,4
204934,24482,4
141742,24482,4
131659,9505,4
17709,9002,4
140079,9924,4
142005,7018,4
18423,3491,4
131630,55720,4
150766,24482,4
136462,3491,4
55789,24482,4
45250,63897,4
7483,150288,4
131273,137409,4
131273,24482,4
131273,55720,4
131643,137409,4
131643,24482,4
131643,55720,4
38254,138997,4
63900,131638,4
18044,24482,4
18044,38855,4
142046,38855,4
152619,24482,4
152619,38855,4
152626,24482,4
55789,9924,4
17408,34549,4
150755,24482,4
150755,38855,4
3462,29632,4
213430,134823,4
202820,20473,4
208223,393577,4
203405,47498,4
214821,58057,4
7539,11537,3
17716,7539,3
17713,9264,3
17716,9264,3
150768,24482,3
150768,55720,3
131666,24482,3
131666,55720,3
131630,134823,3
152615,24482,3
152615,38855,3
18424,24482,3
18424,55720,3
131657,24482,3
18423,18041,3
3462,9505,3
63900,24482,3
63900,38855,3
9505,55720,3
142005,3462,3
3462,3333,3
3462,48185,3
210932,24482,3
210932,38855,3
198954,24482,3
198954,38855,3
216123,24482,3
216123,38855,3
212154,56662,3
18420,7539,2
9416,58453,2
9416,216458,2
9922,10133,2
204934,206499,2
9680,6762,2
18422,10133,2
131605,24482,2
38856,24482,2
38856,38855,2
18423,24482,2
18423,38855,2
9244,137409,2
142005,33891,2
131644,55720,2
