asn_destino,asn_upstream,frequencia,pais_upstream
3462,48185,3,Desconhecido
210932,24482,3,SG
210932,38855,3,TW
198954,24482,3,SG
198954,38855,3,TW
216123,24482,3,SG
216123,38855,3,TW
212154,56662,3,Desconhecido
18420,7539,2,TW
9416,58453,2,HK
9416,216458,2,Desconhecido
9922,10133,2,TW
204934,206499,2,Desconhecido
9680,6762,2,Desconhecido
18422,10133,2,TW
131605,24482,2,SG
38856,24482,2,SG
38856,38855,2,TW
18423,24482,2,SG
18423,38855,2,TW
9244,137409,2,AU
142005,33891,2,Desconhecido
131644,55720,2,MY
150768,38855,2,TW
7538,24429,2,CN
212358,24482,2,SG
212358,38855,2,TW
18041,137409,2,AU
17415,24482,2,SG
17415,38855,2,TW
131659,4780,2,TW
38842,131659,2,TW
38254,24482,2,SG
38254,38855,2,TW
150770,24482,2,SG
150770,55720,2,MY
203843,24482,2,SG
203843,38855,2,TW
9244,55720,2,MY
45250,38001,2,SG
45250,17639,2,PH
131638,24482,2,SG
4780,983,2,Desconhecido
18040,24482,2,SG
18044,18041,2,TW
150771,24482,2,SG
150771,38855,2,TW
55789,55720,2,MY
17408,33891,2,Desconhecido
18041,10133,2,TW
9676,9924,2,TW
204934,56662,2,Desconhecido
150767,134823,2,TW
4780,9924,2,TW
216198,204092,2,Desconhecido
216198,24482,2,SG
142046,24482,2,SG
212154,34549,2,Desconhecido
205329,29632,2,Desconhecido
205329,58057,2,Desconhecido
18411,24482,1,SG
18411,55720,1,MY
9680,7575,1,AU
9680,17639,1,PH
9680,24482,1,SG
131605,55720,1,MY
18180,210919,1,Desconhecido
9924,137409,1,AU
38853,24482,1,SG
38853,55720,1,MY
4780,7481,1,TW
9917,24482,1,SG
9917,55720,1,MY
152615,20473,1,Desconhecido
152615,55720,1,MY
10135,9924,1,TW
142005,38001,1,SG
142005,8966,1,Desconhecido
142005,17639,1,PH
142005,24482,1,SG
131642,9505,1,TW
9915,10133,1,TW
9915,24482,1,SG
9915,55720,1,MY
150137,24482,1,SG
150137,55720,1,MY
131659,60068,1,Desconhecido
131659,24482,1,SG
131659,55720,1,MY
38852,18041,1,TW
38852,24482,1,SG
38852,38855,1,TW
9920,10133,1,TW
9920,24482,1,SG
131599,3462,1,TW
17408,137409,1,AU
131596,38855,1,TW
63900,55720,1,MY
131638,137409,1,AU
131638,55720,1,MY
18040,55720,1,MY
17718,10133,1,TW
17718,24482,1,SG
17718,55720,1,MY
142046,18041,1,TW
150771,55720,1,MY
150766,137409,1,AU
63909,24482,1,SG
63909,55720,1,MY
131630,10133,1,TW
45250,21859,1,Desconhecido
131681,9924,1,TW
4780,8966,1,Desconhecido
134094,52025,1,Desconhecido
134823,18041,1,TW
17408,37721,1,Desconhecido
17408,1836,1,Desconhecido
17408,48362,1,Desconhecido
