asn_destino,asn_upstream,frequencia,pais_upstream
9505,213241,9,Desconhecido
9264,33891,8,Desconhecido
9680,174,8,US
131149,55720,8,MY
9915,6939,8,US
38852,6939,8,US
24162,3491,8,HK
17718,6939,8,US
7539,24482,7,SG
18422,55720,7,MY
10135,24482,7,SG
10135,55720,7,MY
38856,6939,7,US
131666,6939,7,US
63897,55720,7,MY
7483,10099,7,HK
142005,6939,7,US
4780,58453,7,HK
3462,12859,6,Desconhecido
7539,55720,6,MY
9924,4635,6,HK
131644,24482,6,SG
45250,140715,6,PH
215256,24482,6,SG
213617,20473,6,US
9264,38001,5,SG
9264,23855,5,SG
9264,1103,5,Desconhecido
9264,17639,5,PH
9264,24482,5,SG
9924,17639,5,PH
10135,4637,5,HK
9680,6939,5,US
18423,6939,5,US
212425,58057,5,Desconhecido
207705,24482,5,SG
216198,207841,5,Desconhecido
213617,53356,5,Desconhecido
9416,12389,4,Desconhecido
204934,24482,4,SG
141742,24482,4,SG
17709,9002,4,GB
142005,7018,4,Desconhecido
18423,3491,4,HK
131630,55720,4,MY
150766,24482,4,SG
136462,3491,4,HK
55789,24482,4,SG
7483,150288,4,SG
131273,137409,4,AU
131273,24482,4,SG
131273,55720,4,MY
131643,137409,4,AU
131643,24482,4,SG
131643,55720,4,MY
38254,138997,4,HK
18044,24482,4,SG
152619,24482,4,SG
152626,24482,4,SG
17408,34549,4,Desconhecido
150755,24482,4,SG
3462,29632,4,Desconhecido
202820,20473,4,US
208223,393577,4,Desconhecido
203405,47498,4,Desconhecido
214821,58057,4,Desconhecido
7539,11537,3,Desconhecido
150768,24482,3,SG
150768,55720,3,MY
131666,24482,3,SG
131666,55720,3,MY
152615,24482,3,SG
18424,24482,3,SG
18424,55720,3,MY
131657,24482,3,SG
63900,24482,3,SG
9505,55720,3,MY
3462,3333,3,Desconhecido
3462,48185,3,Desconhecido
210932,24482,3,SG
198954,24482,3,SG
216123,24482,3,SG
212154,56662,3,Desconhecido
9416,58453,2,HK
9416,216458,2,Desconhecido
204934,206499,2,Desconhecido
9680,6762,2,IT
131605,24482,2,SG
38856,24482,2,SG
18423,24482,2,SG
9244,137409,2,AU
142005,33891,2,Desconhecido
131644,55720,2,MY
7538,24429,2,CN
212358,24482,2,SG
18041,137409,2,AU
17415,24482,2,SG
38254,24482,2,SG
150770,24482,2,SG
150770,55720,2,MY
203843,24482,2,SG
9244,55720,2,MY
45250,38001,2,SG
45250,17639,2,PH
131638,24482,2,SG
4780,983,2,Desconhecido
18040,24482,2,SG
150771,24482,2,SG
55789,55720,2,MY
17408,33891,2,Desconhecido
204934,56662,2,Desconhecido
216198,204092,2,Desconhecido
216198,24482,2,SG
142046,24482,2,SG
212154,34549,2,Desconhecido
205329,29632,2,Desconhecido
205329,58057,2,Desconhecido
18411,24482,1,SG
18411,55720,1,MY
9680,7575,1,AU
9680,17639,1,PH
9680,24482,1,SG
131605,55720,1,MY
